HierDepth,InstName,Module,TotalArea[um^2 70% logic util],TotalArea[um^2 100% logic util],Logic KGates,LogicArea[um^2 assuming 70% util],MemArea[um^2 100% util],MacroArea[um^2],TotalInsts,MemCount,MemSize[KBytes],MacroCount,Comb KGates,CombArea[um^2],CombCount,Flop KGates,FlopArea[um^2],FlopCount,Cg KGates,CgArea[um^2],CGCount,Latch KGates,LatchArea[um^2],LatchCount,buf_inv_area[um^2],buf_inv_cnt,buf_inv_perc[%],lvt_cnt,lvt_perc[%],leakage[uW]
0,FpMultVariations,,9445.03,6611.52,42.51,9445.03,0.00,0.00,12678,0,0,0,26.64,4142.38,10368,15.88,2469.14,2310,0.00,0.00,0,0.00,0.00,0,112.18,968,7.64,0,0.00,0.03822
1,exponent_row[3].mantissa_col[3].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA3_W_EXPONENT3_FpMultVariations,35.47,24.83,0.16,35.47,0.00,0.00,70,0,0,0,0.16,24.83,70,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.62,6,8.57,0,0.00,0.00014
1,exponent_row[3].mantissa_col[4].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA4_W_EXPONENT3_FpMultVariations,50.59,35.41,0.23,50.59,0.00,0.00,87,0,0,0,0.23,35.41,87,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.21,2,2.30,0,0.00,0.00019
1,exponent_row[3].mantissa_col[5].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA5_W_EXPONENT3_FpMultVariations,67.39,47.17,0.30,67.39,0.00,0.00,118,0,0,0,0.30,47.17,118,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.93,9,7.63,0,0.00,0.00026
1,exponent_row[3].mantissa_col[6].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA6_W_EXPONENT3_FpMultVariations,87.99,61.59,0.40,87.99,0.00,0.00,157,0,0,0,0.40,61.59,157,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,1.56,15,9.55,0,0.00,0.00035
1,exponent_row[3].mantissa_col[7].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA7_W_EXPONENT3_FpMultVariations,110.27,77.19,0.50,110.27,0.00,0.00,197,0,0,0,0.50,77.19,197,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,2.38,23,11.68,0,0.00,0.00044
1,exponent_row[3].mantissa_col[8].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA8_W_EXPONENT3_FpMultVariations,136.71,95.70,0.62,136.71,0.00,0.00,239,0,0,0,0.62,95.70,239,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,3.01,29,12.13,0,0.00,0.00055
1,exponent_row[3].mantissa_col[9].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA9_W_EXPONENT3_FpMultVariations,166.11,116.28,0.75,166.11,0.00,0.00,293,0,0,0,0.75,116.28,293,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,4.25,40,13.65,0,0.00,0.00069
1,exponent_row[3].mantissa_col[10].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA10_W_EXPONENT3_FpMultVariations,199.73,139.81,0.90,199.73,0.00,0.00,327,0,0,0,0.90,139.81,327,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,3.21,31,9.48,0,0.00,0.00084
1,exponent_row[3].mantissa_col[11].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA11_W_EXPONENT3_FpMultVariations,241.13,168.79,1.09,241.13,0.00,0.00,380,0,0,0,1.09,168.79,380,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,3.78,35,9.21,0,0.00,0.00101
1,exponent_row[3].mantissa_col[12].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA12_W_EXPONENT3_FpMultVariations,265.94,186.16,1.20,265.94,0.00,0.00,426,0,0,0,1.20,186.16,426,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,4.41,40,9.39,0,0.00,0.00112
1,exponent_row[4].mantissa_col[3].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA3_W_EXPONENT4_FpMultVariations,38.14,26.70,0.17,38.14,0.00,0.00,73,0,0,0,0.17,26.70,73,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.31,3,4.11,0,0.00,0.00016
1,exponent_row[4].mantissa_col[4].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA4_W_EXPONENT4_FpMultVariations,53.91,37.74,0.24,53.91,0.00,0.00,95,0,0,0,0.24,37.74,95,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,0.52,5,5.26,0,0.00,0.00021
1,exponent_row[4].mantissa_col[5].fp_mult_inst_enable.FpMult_inst,FpMult_W_MANTISSA5_W_EXPONENT4_FpMultVariations,70.94,49.66,0.32,70.94,0.00,0.00,126,0,0,0,0.32,49.66,126,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,1.24,12,9.52,0,0.00,0.00028
