HierDepth,InstName,Module,TotalArea[um^2 70% logic util],TotalArea[um^2 100% logic util],Logic KGates,LogicArea[um^2 assuming 70% util],MemArea[um^2 100% util],MacroArea[um^2],TotalInsts,MemCount,MemSize[KBytes],MacroCount,Comb KGates,CombArea[um^2],CombCount,Flop KGates,FlopArea[um^2],FlopCount,Cg KGates,CgArea[um^2],CGCount,Latch KGates,LatchArea[um^2],LatchCount,buf_inv_area[um^2],buf_inv_cnt,buf_inv_perc[%],lvt_cnt,lvt_perc[%],leakage[uW]
0,IntMultVariations,,2918.37,2042.86,13.14,2918.37,0.00,0.00,4305,0,0,0,10.33,1606.16,3873,2.81,436.70,432,0.00,0.00,0,0.00,0.00,0,30.07,270,6.27,0,0.00,0.01211
1,operand_a[8].IntMult_inst,IntMult_W_IN_A8_W_IN_B8_IntMultVariations,118.64,83.05,0.53,118.64,0.00,0.00,227,0,0,0,0.53,83.05,227,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,2.07,20,8.81,0,0.00,0.00050
1,operand_a[9].IntMult_inst,IntMult_W_IN_A9_W_IN_B9_IntMultVariations,149.37,104.56,0.67,149.37,0.00,0.00,273,0,0,0,0.67,104.56,273,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,2.07,20,7.33,0,0.00,0.00060
1,operand_a[10].IntMult_inst,IntMult_W_IN_A10_W_IN_B10_IntMultVariations,181.44,127.01,0.82,181.44,0.00,0.00,329,0,0,0,0.82,127.01,329,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,2.80,27,8.21,0,0.00,0.00073
1,operand_a[11].IntMult_inst,IntMult_W_IN_A11_W_IN_B11_IntMultVariations,212.61,148.83,0.96,212.61,0.00,0.00,372,0,0,0,0.96,148.83,372,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,2.38,23,6.18,0,0.00,0.00088
1,operand_a[12].IntMult_inst,IntMult_W_IN_A12_W_IN_B12_IntMultVariations,257.80,180.46,1.16,257.80,0.00,0.00,439,0,0,0,1.16,180.46,439,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,3.84,35,7.97,0,0.00,0.00106
1,operand_a[13].IntMult_inst,IntMult_W_IN_A13_W_IN_B13_IntMultVariations,284.01,198.81,1.28,284.01,0.00,0.00,492,0,0,0,1.28,198.81,492,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,3.63,35,7.11,0,0.00,0.00119
1,operand_a[14].IntMult_inst,IntMult_W_IN_A14_W_IN_B14_IntMultVariations,335.03,234.52,1.51,335.03,0.00,0.00,561,0,0,0,1.51,234.52,561,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,4.46,41,7.31,0,0.00,0.00138
1,operand_a[15].IntMult_inst,IntMult_W_IN_A15_W_IN_B15_IntMultVariations,365.47,255.83,1.64,365.47,0.00,0.00,596,0,0,0,1.64,255.83,596,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,2.90,28,4.70,0,0.00,0.00153
1,operand_a[16].IntMult_inst,IntMult_W_IN_A16_W_IN_B16_IntMultVariations,385.99,270.19,1.74,385.99,0.00,0.00,572,0,0,0,1.74,270.19,572,0.00,0.00,0,0.00,0.00,0,0.00,0.00,0,3.01,29,5.07,0,0.00,0.00161
